evaluatee,Acc,F1,Brier,NLL,ECE,CP_AUROC,AURC,E-AURC,SAC@90,SAC@91,SAC@92,SAC@93,SAC@94,SAC@95,SAC@96,SAC@97,SAC@98,SAC@99,dataset_name,dataset_dir,teacher_fl_name,teacher_fl_path,teacher_fl_source,teacher_fs_name,teacher_fs_path,teacher_fs_source,student_name,student_path,student_source,distillation_method,duo_mode,temperature,epochs,lr,soft_target_loss_weight,use_multi_transform
teacher_fl_pre,0.9340156794425087,0.9263149828322444,0.00039355090302057775,0.2736739141604146,0.0132620669901371,0.9341942354645816,0.0070632818990362745,0.004829605441230048,1.0,1.0,1.0,1.0,0.9899825783972126,0.9732142857142857,0.9457752613240418,0.9181184668989547,0.8810975609756098,0.8077090592334495,caltech256,/localscratch/timz.64059229.0/data,convnext_base,checkpoints/caltech256/ff/ConvNeXt_Base.pth,torchvision,convnext_tiny,checkpoints/caltech256/ff/ConvNeXt_Tiny.pth,torchvision,convnext_tiny,checkpoints/caltech256/ff/ConvNeXt_Tiny.pth,torchvision,TargetMatching,asymmetric,3.0,10,0.0001,0.0,True
teacher_fs_pre,0.9181184668989547,0.9075328406059032,0.00046417510905283577,0.31400108932327186,0.01798173226416111,0.9370309787435906,0.009152167668143163,0.005695522322056765,1.0,1.0,0.997822299651568,0.981925087108014,0.9605836236933798,0.9416376306620209,0.9185540069686411,0.8945993031358885,0.8501742160278746,0.7802700348432056,caltech256,/localscratch/timz.64059229.0/data,convnext_base,checkpoints/caltech256/ff/ConvNeXt_Base.pth,torchvision,convnext_tiny,checkpoints/caltech256/ff/ConvNeXt_Tiny.pth,torchvision,convnext_tiny,checkpoints/caltech256/ff/ConvNeXt_Tiny.pth,torchvision,TargetMatching,asymmetric,3.0,10,0.0001,0.0,True
student_pre,0.9181184668989547,0.9075328406059032,0.00046417510905283577,0.31400108932327186,0.01798173226416111,0.9370309787435906,0.009152167668143163,0.005695522322056765,1.0,1.0,0.997822299651568,0.981925087108014,0.9605836236933798,0.9416376306620209,0.9185540069686411,0.8945993031358885,0.8501742160278746,0.7802700348432056,caltech256,/localscratch/timz.64059242.0/data,convnext_base,checkpoints/caltech256/ff/ConvNeXt_Base.pth,torchvision,convnext_tiny,checkpoints/caltech256/ff/ConvNeXt_Tiny.pth,torchvision,convnext_tiny,checkpoints/caltech256/ff/ConvNeXt_Tiny.pth,torchvision,TargetMatching,asymmetric,3.0,10,0.0001,0.6,True
duo_teacher_pre,0.9359756097560976,0.9280965294935566,0.0003734458543664998,0.253074924569111,0.014430694282054901,0.9397861052285037,0.006391201822813855,0.004289472709877741,1.0,1.0,1.0,1.0,0.9945557491289199,0.9790940766550522,0.9564459930313589,0.9270470383275261,0.8943815331010453,0.8181620209059234,caltech256,/localscratch/timz.64059242.0/data,convnext_base,checkpoints/caltech256/ff/ConvNeXt_Base.pth,torchvision,convnext_tiny,checkpoints/caltech256/ff/ConvNeXt_Tiny.pth,torchvision,convnext_tiny,checkpoints/caltech256/ff/ConvNeXt_Tiny.pth,torchvision,TargetMatching,asymmetric,3.0,10,0.0001,0.6,True
teacher_fl_pre,0.9340156794425087,0.9263149828322444,0.00039355090302057775,0.2736739141604146,0.0132620669901371,0.9341942354645816,0.0070632818990362745,0.004829605441230048,1.0,1.0,1.0,1.0,0.9899825783972126,0.9732142857142857,0.9457752613240418,0.9181184668989547,0.8810975609756098,0.8077090592334495,caltech256,/localscratch/timz.64059242.0/data,convnext_base,checkpoints/caltech256/ff/ConvNeXt_Base.pth,torchvision,convnext_tiny,checkpoints/caltech256/ff/ConvNeXt_Tiny.pth,torchvision,convnext_tiny,checkpoints/caltech256/ff/ConvNeXt_Tiny.pth,torchvision,TargetMatching,asymmetric,3.0,10,0.0001,0.6,True
teacher_fs_pre,0.9181184668989547,0.9075328406059032,0.00046417510905283577,0.31400108932327186,0.01798173226416111,0.9370309787435906,0.009152167668143163,0.005695522322056765,1.0,1.0,0.997822299651568,0.981925087108014,0.9605836236933798,0.9416376306620209,0.9185540069686411,0.8945993031358885,0.8501742160278746,0.7802700348432056,caltech256,/localscratch/timz.64059242.0/data,convnext_base,checkpoints/caltech256/ff/ConvNeXt_Base.pth,torchvision,convnext_tiny,checkpoints/caltech256/ff/ConvNeXt_Tiny.pth,torchvision,convnext_tiny,checkpoints/caltech256/ff/ConvNeXt_Tiny.pth,torchvision,TargetMatching,asymmetric,3.0,10,0.0001,0.6,True
student_pre,0.9181184668989547,0.9075328406059032,0.00046417510905283577,0.31400108932327186,0.01798173226416111,0.9370309787435906,0.009152167668143163,0.005695522322056765,1.0,1.0,0.997822299651568,0.981925087108014,0.9605836236933798,0.9416376306620209,0.9185540069686411,0.8945993031358885,0.8501742160278746,0.7802700348432056,caltech256,/localscratch/timz.64059235.0/data,convnext_base,checkpoints/caltech256/ff/ConvNeXt_Base.pth,torchvision,convnext_tiny,checkpoints/caltech256/ff/ConvNeXt_Tiny.pth,torchvision,convnext_tiny,checkpoints/caltech256/ff/ConvNeXt_Tiny.pth,torchvision,TargetMatching,asymmetric,3.0,10,0.0001,0.4,True
duo_teacher_pre,0.9359756097560976,0.9280965294935566,0.0003734458543664998,0.253074924569111,0.014430694282054901,0.9397861052285037,0.006391201822813855,0.004289472709877741,1.0,1.0,1.0,1.0,0.9945557491289199,0.9790940766550522,0.9564459930313589,0.9270470383275261,0.8943815331010453,0.8181620209059234,caltech256,/localscratch/timz.64059235.0/data,convnext_base,checkpoints/caltech256/ff/ConvNeXt_Base.pth,torchvision,convnext_tiny,checkpoints/caltech256/ff/ConvNeXt_Tiny.pth,torchvision,convnext_tiny,checkpoints/caltech256/ff/ConvNeXt_Tiny.pth,torchvision,TargetMatching,asymmetric,3.0,10,0.0001,0.4,True
teacher_fl_pre,0.9340156794425087,0.9263149828322444,0.00039355090302057775,0.2736739141604146,0.0132620669901371,0.9341942354645816,0.0070632818990362745,0.004829605441230048,1.0,1.0,1.0,1.0,0.9899825783972126,0.9732142857142857,0.9457752613240418,0.9181184668989547,0.8810975609756098,0.8077090592334495,caltech256,/localscratch/timz.64059235.0/data,convnext_base,checkpoints/caltech256/ff/ConvNeXt_Base.pth,torchvision,convnext_tiny,checkpoints/caltech256/ff/ConvNeXt_Tiny.pth,torchvision,convnext_tiny,checkpoints/caltech256/ff/ConvNeXt_Tiny.pth,torchvision,TargetMatching,asymmetric,3.0,10,0.0001,0.4,True
teacher_fs_pre,0.9181184668989547,0.9075328406059032,0.00046417510905283577,0.31400108932327186,0.01798173226416111,0.9370309787435906,0.009152167668143163,0.005695522322056765,1.0,1.0,0.997822299651568,0.981925087108014,0.9605836236933798,0.9416376306620209,0.9185540069686411,0.8945993031358885,0.8501742160278746,0.7802700348432056,caltech256,/localscratch/timz.64059235.0/data,convnext_base,checkpoints/caltech256/ff/ConvNeXt_Base.pth,torchvision,convnext_tiny,checkpoints/caltech256/ff/ConvNeXt_Tiny.pth,torchvision,convnext_tiny,checkpoints/caltech256/ff/ConvNeXt_Tiny.pth,torchvision,TargetMatching,asymmetric,3.0,10,0.0001,0.4,True
student_pre,0.9181184668989547,0.9075328406059032,0.00046417510905283577,0.31400108932327186,0.01798173226416111,0.9370309787435906,0.009152167668143163,0.005695522322056765,1.0,1.0,0.997822299651568,0.981925087108014,0.9605836236933798,0.9416376306620209,0.9185540069686411,0.8945993031358885,0.8501742160278746,0.7802700348432056,caltech256,/localscratch/timz.64059234.0/data,convnext_base,checkpoints/caltech256/ff/ConvNeXt_Base.pth,torchvision,convnext_tiny,checkpoints/caltech256/ff/ConvNeXt_Tiny.pth,torchvision,convnext_tiny,checkpoints/caltech256/ff/ConvNeXt_Tiny.pth,torchvision,TargetMatching,asymmetric,3.0,10,0.0001,0.3,True
duo_teacher_pre,0.9359756097560976,0.9280965294935566,0.0003734458543664998,0.253074924569111,0.014430694282054901,0.9397861052285037,0.006391201822813855,0.004289472709877741,1.0,1.0,1.0,1.0,0.9945557491289199,0.9790940766550522,0.9564459930313589,0.9270470383275261,0.8943815331010453,0.8181620209059234,caltech256,/localscratch/timz.64059234.0/data,convnext_base,checkpoints/caltech256/ff/ConvNeXt_Base.pth,torchvision,convnext_tiny,checkpoints/caltech256/ff/ConvNeXt_Tiny.pth,torchvision,convnext_tiny,checkpoints/caltech256/ff/ConvNeXt_Tiny.pth,torchvision,TargetMatching,asymmetric,3.0,10,0.0001,0.3,True
teacher_fl_pre,0.9340156794425087,0.9263149828322444,0.00039355090302057775,0.2736739141604146,0.0132620669901371,0.9341942354645816,0.0070632818990362745,0.004829605441230048,1.0,1.0,1.0,1.0,0.9899825783972126,0.9732142857142857,0.9457752613240418,0.9181184668989547,0.8810975609756098,0.8077090592334495,caltech256,/localscratch/timz.64059234.0/data,convnext_base,checkpoints/caltech256/ff/ConvNeXt_Base.pth,torchvision,convnext_tiny,checkpoints/caltech256/ff/ConvNeXt_Tiny.pth,torchvision,convnext_tiny,checkpoints/caltech256/ff/ConvNeXt_Tiny.pth,torchvision,TargetMatching,asymmetric,3.0,10,0.0001,0.3,True
teacher_fs_pre,0.9181184668989547,0.9075328406059032,0.00046417510905283577,0.31400108932327186,0.01798173226416111,0.9370309787435906,0.009152167668143163,0.005695522322056765,1.0,1.0,0.997822299651568,0.981925087108014,0.9605836236933798,0.9416376306620209,0.9185540069686411,0.8945993031358885,0.8501742160278746,0.7802700348432056,caltech256,/localscratch/timz.64059234.0/data,convnext_base,checkpoints/caltech256/ff/ConvNeXt_Base.pth,torchvision,convnext_tiny,checkpoints/caltech256/ff/ConvNeXt_Tiny.pth,torchvision,convnext_tiny,checkpoints/caltech256/ff/ConvNeXt_Tiny.pth,torchvision,TargetMatching,asymmetric,3.0,10,0.0001,0.3,True
student_pre,0.9181184668989547,0.9075328406059032,0.00046417510905283577,0.31400108932327186,0.01798173226416111,0.9370309787435906,0.009152167668143163,0.005695522322056765,1.0,1.0,0.997822299651568,0.981925087108014,0.9605836236933798,0.9416376306620209,0.9185540069686411,0.8945993031358885,0.8501742160278746,0.7802700348432056,caltech256,/localscratch/timz.64059232.0/data,convnext_base,checkpoints/caltech256/ff/ConvNeXt_Base.pth,torchvision,convnext_tiny,checkpoints/caltech256/ff/ConvNeXt_Tiny.pth,torchvision,convnext_tiny,checkpoints/caltech256/ff/ConvNeXt_Tiny.pth,torchvision,TargetMatching,asymmetric,3.0,10,0.0001,0.2,True
duo_teacher_pre,0.9359756097560976,0.9280965294935566,0.0003734458543664998,0.253074924569111,0.014430694282054901,0.9397861052285037,0.006391201822813855,0.004289472709877741,1.0,1.0,1.0,1.0,0.9945557491289199,0.9790940766550522,0.9564459930313589,0.9270470383275261,0.8943815331010453,0.8181620209059234,caltech256,/localscratch/timz.64059232.0/data,convnext_base,checkpoints/caltech256/ff/ConvNeXt_Base.pth,torchvision,convnext_tiny,checkpoints/caltech256/ff/ConvNeXt_Tiny.pth,torchvision,convnext_tiny,checkpoints/caltech256/ff/ConvNeXt_Tiny.pth,torchvision,TargetMatching,asymmetric,3.0,10,0.0001,0.2,True
teacher_fl_pre,0.9340156794425087,0.9263149828322444,0.00039355090302057775,0.2736739141604146,0.0132620669901371,0.9341942354645816,0.0070632818990362745,0.004829605441230048,1.0,1.0,1.0,1.0,0.9899825783972126,0.9732142857142857,0.9457752613240418,0.9181184668989547,0.8810975609756098,0.8077090592334495,caltech256,/localscratch/timz.64059232.0/data,convnext_base,checkpoints/caltech256/ff/ConvNeXt_Base.pth,torchvision,convnext_tiny,checkpoints/caltech256/ff/ConvNeXt_Tiny.pth,torchvision,convnext_tiny,checkpoints/caltech256/ff/ConvNeXt_Tiny.pth,torchvision,TargetMatching,asymmetric,3.0,10,0.0001,0.2,True
teacher_fs_pre,0.9181184668989547,0.9075328406059032,0.00046417510905283577,0.31400108932327186,0.01798173226416111,0.9370309787435906,0.009152167668143163,0.005695522322056765,1.0,1.0,0.997822299651568,0.981925087108014,0.9605836236933798,0.9416376306620209,0.9185540069686411,0.8945993031358885,0.8501742160278746,0.7802700348432056,caltech256,/localscratch/timz.64059232.0/data,convnext_base,checkpoints/caltech256/ff/ConvNeXt_Base.pth,torchvision,convnext_tiny,checkpoints/caltech256/ff/ConvNeXt_Tiny.pth,torchvision,convnext_tiny,checkpoints/caltech256/ff/ConvNeXt_Tiny.pth,torchvision,TargetMatching,asymmetric,3.0,10,0.0001,0.2,True
student_pre,0.9181184668989547,0.9075328406059032,0.00046417510905283577,0.31400108932327186,0.01798173226416111,0.9370309787435906,0.009152167668143163,0.005695522322056765,1.0,1.0,0.997822299651568,0.981925087108014,0.9605836236933798,0.9416376306620209,0.9185540069686411,0.8945993031358885,0.8501742160278746,0.7802700348432056,caltech256,/localscratch/timz.64059243.0/data,convnext_base,checkpoints/caltech256/ff/ConvNeXt_Base.pth,torchvision,convnext_tiny,checkpoints/caltech256/ff/ConvNeXt_Tiny.pth,torchvision,convnext_tiny,checkpoints/caltech256/ff/ConvNeXt_Tiny.pth,torchvision,TargetMatching,asymmetric,3.0,10,0.0001,0.7,True
duo_teacher_pre,0.9359756097560976,0.9280965294935566,0.0003734458543664998,0.253074924569111,0.014430694282054901,0.9397861052285037,0.006391201822813855,0.004289472709877741,1.0,1.0,1.0,1.0,0.9945557491289199,0.9790940766550522,0.9564459930313589,0.9270470383275261,0.8943815331010453,0.8181620209059234,caltech256,/localscratch/timz.64059243.0/data,convnext_base,checkpoints/caltech256/ff/ConvNeXt_Base.pth,torchvision,convnext_tiny,checkpoints/caltech256/ff/ConvNeXt_Tiny.pth,torchvision,convnext_tiny,checkpoints/caltech256/ff/ConvNeXt_Tiny.pth,torchvision,TargetMatching,asymmetric,3.0,10,0.0001,0.7,True
teacher_fl_pre,0.9340156794425087,0.9263149828322444,0.00039355090302057775,0.2736739141604146,0.0132620669901371,0.9341942354645816,0.0070632818990362745,0.004829605441230048,1.0,1.0,1.0,1.0,0.9899825783972126,0.9732142857142857,0.9457752613240418,0.9181184668989547,0.8810975609756098,0.8077090592334495,caltech256,/localscratch/timz.64059243.0/data,convnext_base,checkpoints/caltech256/ff/ConvNeXt_Base.pth,torchvision,convnext_tiny,checkpoints/caltech256/ff/ConvNeXt_Tiny.pth,torchvision,convnext_tiny,checkpoints/caltech256/ff/ConvNeXt_Tiny.pth,torchvision,TargetMatching,asymmetric,3.0,10,0.0001,0.7,True
teacher_fs_pre,0.9181184668989547,0.9075328406059032,0.00046417510905283577,0.31400108932327186,0.01798173226416111,0.9370309787435906,0.009152167668143163,0.005695522322056765,1.0,1.0,0.997822299651568,0.981925087108014,0.9605836236933798,0.9416376306620209,0.9185540069686411,0.8945993031358885,0.8501742160278746,0.7802700348432056,caltech256,/localscratch/timz.64059243.0/data,convnext_base,checkpoints/caltech256/ff/ConvNeXt_Base.pth,torchvision,convnext_tiny,checkpoints/caltech256/ff/ConvNeXt_Tiny.pth,torchvision,convnext_tiny,checkpoints/caltech256/ff/ConvNeXt_Tiny.pth,torchvision,TargetMatching,asymmetric,3.0,10,0.0001,0.7,True
student_pre,0.9181184668989547,0.9075328406059032,0.00046417510905283577,0.31400108932327186,0.01798173226416111,0.9370309787435906,0.009152167668143163,0.005695522322056765,1.0,1.0,0.997822299651568,0.981925087108014,0.9605836236933798,0.9416376306620209,0.9185540069686411,0.8945993031358885,0.8501742160278746,0.7802700348432056,caltech256,/localscratch/timz.64059240.0/data,convnext_base,checkpoints/caltech256/ff/ConvNeXt_Base.pth,torchvision,convnext_tiny,checkpoints/caltech256/ff/ConvNeXt_Tiny.pth,torchvision,convnext_tiny,checkpoints/caltech256/ff/ConvNeXt_Tiny.pth,torchvision,TargetMatching,asymmetric,3.0,10,0.0001,0.5,True
duo_teacher_pre,0.9359756097560976,0.9280965294935566,0.0003734458543664998,0.253074924569111,0.014430694282054901,0.9397861052285037,0.006391201822813855,0.004289472709877741,1.0,1.0,1.0,1.0,0.9945557491289199,0.9790940766550522,0.9564459930313589,0.9270470383275261,0.8943815331010453,0.8181620209059234,caltech256,/localscratch/timz.64059240.0/data,convnext_base,checkpoints/caltech256/ff/ConvNeXt_Base.pth,torchvision,convnext_tiny,checkpoints/caltech256/ff/ConvNeXt_Tiny.pth,torchvision,convnext_tiny,checkpoints/caltech256/ff/ConvNeXt_Tiny.pth,torchvision,TargetMatching,asymmetric,3.0,10,0.0001,0.5,True
teacher_fl_pre,0.9340156794425087,0.9263149828322444,0.00039355090302057775,0.2736739141604146,0.0132620669901371,0.9341942354645816,0.0070632818990362745,0.004829605441230048,1.0,1.0,1.0,1.0,0.9899825783972126,0.9732142857142857,0.9457752613240418,0.9181184668989547,0.8810975609756098,0.8077090592334495,caltech256,/localscratch/timz.64059240.0/data,convnext_base,checkpoints/caltech256/ff/ConvNeXt_Base.pth,torchvision,convnext_tiny,checkpoints/caltech256/ff/ConvNeXt_Tiny.pth,torchvision,convnext_tiny,checkpoints/caltech256/ff/ConvNeXt_Tiny.pth,torchvision,TargetMatching,asymmetric,3.0,10,0.0001,0.5,True
teacher_fs_pre,0.9181184668989547,0.9075328406059032,0.00046417510905283577,0.31400108932327186,0.01798173226416111,0.9370309787435906,0.009152167668143163,0.005695522322056765,1.0,1.0,0.997822299651568,0.981925087108014,0.9605836236933798,0.9416376306620209,0.9185540069686411,0.8945993031358885,0.8501742160278746,0.7802700348432056,caltech256,/localscratch/timz.64059240.0/data,convnext_base,checkpoints/caltech256/ff/ConvNeXt_Base.pth,torchvision,convnext_tiny,checkpoints/caltech256/ff/ConvNeXt_Tiny.pth,torchvision,convnext_tiny,checkpoints/caltech256/ff/ConvNeXt_Tiny.pth,torchvision,TargetMatching,asymmetric,3.0,10,0.0001,0.5,True
student_pre,0.9181184668989547,0.9075328406059032,0.00046417510905283577,0.31400108932327186,0.01798173226416111,0.9370309787435906,0.009152167668143163,0.005695522322056765,1.0,1.0,0.997822299651568,0.981925087108014,0.9605836236933798,0.9416376306620209,0.9185540069686411,0.8945993031358885,0.8501742160278746,0.7802700348432056,caltech256,/localscratch/timz.64059259.0/data,convnext_base,checkpoints/caltech256/ff/ConvNeXt_Base.pth,torchvision,convnext_tiny,checkpoints/caltech256/ff/ConvNeXt_Tiny.pth,torchvision,convnext_tiny,checkpoints/caltech256/ff/ConvNeXt_Tiny.pth,torchvision,TargetMatching,asymmetric,3.0,10,0.0001,1.0,True
duo_teacher_pre,0.9359756097560976,0.9280965294935566,0.0003734458543664998,0.253074924569111,0.014430694282054901,0.9397861052285037,0.006391201822813855,0.004289472709877741,1.0,1.0,1.0,1.0,0.9945557491289199,0.9790940766550522,0.9564459930313589,0.9270470383275261,0.8943815331010453,0.8181620209059234,caltech256,/localscratch/timz.64059259.0/data,convnext_base,checkpoints/caltech256/ff/ConvNeXt_Base.pth,torchvision,convnext_tiny,checkpoints/caltech256/ff/ConvNeXt_Tiny.pth,torchvision,convnext_tiny,checkpoints/caltech256/ff/ConvNeXt_Tiny.pth,torchvision,TargetMatching,asymmetric,3.0,10,0.0001,1.0,True
teacher_fl_pre,0.9340156794425087,0.9263149828322444,0.00039355090302057775,0.2736739141604146,0.0132620669901371,0.9341942354645816,0.0070632818990362745,0.004829605441230048,1.0,1.0,1.0,1.0,0.9899825783972126,0.9732142857142857,0.9457752613240418,0.9181184668989547,0.8810975609756098,0.8077090592334495,caltech256,/localscratch/timz.64059259.0/data,convnext_base,checkpoints/caltech256/ff/ConvNeXt_Base.pth,torchvision,convnext_tiny,checkpoints/caltech256/ff/ConvNeXt_Tiny.pth,torchvision,convnext_tiny,checkpoints/caltech256/ff/ConvNeXt_Tiny.pth,torchvision,TargetMatching,asymmetric,3.0,10,0.0001,1.0,True
teacher_fs_pre,0.9181184668989547,0.9075328406059032,0.00046417510905283577,0.31400108932327186,0.01798173226416111,0.9370309787435906,0.009152167668143163,0.005695522322056765,1.0,1.0,0.997822299651568,0.981925087108014,0.9605836236933798,0.9416376306620209,0.9185540069686411,0.8945993031358885,0.8501742160278746,0.7802700348432056,caltech256,/localscratch/timz.64059259.0/data,convnext_base,checkpoints/caltech256/ff/ConvNeXt_Base.pth,torchvision,convnext_tiny,checkpoints/caltech256/ff/ConvNeXt_Tiny.pth,torchvision,convnext_tiny,checkpoints/caltech256/ff/ConvNeXt_Tiny.pth,torchvision,TargetMatching,asymmetric,3.0,10,0.0001,1.0,True
